候補者の氏名,ふりがな,性別,年齢,党派名,候補者のウェブサイト等のアドレス,,選挙区,候補者のウェブサイト等のアドレス,Twitter,Facebook,YouTube,Instagram
岬まき,みさきまき,女,50歳,日本維新の会,https://www.facebook.com/pg/岬まき-350025392326182/,,愛知県,https://www.facebook.com/pg/岬まき-350025392326182/,,https://www.facebook.com/å²¬ã¾ã-350025392326182/#,,
酒井やすゆき,さかいやすゆき,男,67歳,自由民主党,http://www.sakai-yasuyuki.com/,,愛知県,http://www.sakai-yasuyuki.com/,https://twitter.com/YasuyukiSakai,https://www.facebook.com/sakai.yasuyuki.98,https://www.youtube.com/watch?v=2eUgkwjrRHE,
田島まいこ,たじままいこ,女,42歳,立憲民主党,https://www.maiko-tajima.com/,,愛知県,https://www.maiko-tajima.com/,https://twitter.com/maiko_tajima,https://www.facebook.com/555maikotajima/,,
牛田ひろゆき,うしだひろゆき,男,48歳,安楽死制度を考える会,,,愛知県,,,,,
末永友香梨,すえながゆかり,女,37歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,愛知県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
吉川ゆうみ,よしかわゆうみ,女,45歳,自由民主党,http://yoshikawa-yuumi.info/,,三重県,http://yoshikawa-yuumi.info/,https://twitter.com/YoshikawaYuumi,https://www.facebook.com/yuumi.yoshikawa.3,,
門田節代,かどたせつよ,女,51歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,三重県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
よしの正英,よしのまさひで,男,44歳,無所属,https://よしのまさひで.jp,,三重県,https://よしのまさひで.jp,,,,
服部修,はっとりおさむ,男,45歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,滋賀県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
かだ由紀子,かだゆきこ,女,69歳,無所属,https://kadayukiko.jp,,滋賀県,https://kadayukiko.jp,,,,
にのゆ武史,にのゆたけし,男,42歳,自由民主党,http://www.ninoyutakeshi.jp,,滋賀県,http://www.ninoyutakeshi.jp,https://twitter.com/takeshiNinoyu,https://www.facebook.com/people/%E4%BA%8C%E4%B9%8B%E6%B9%AF%E6%AD%A6%E5%8F%B2/100026777542243,,https://www.instagram.com/takeshininoyu/
三上たかし,みかみたかし,男,88歳,オリーブの木,https://twitter.com/KyotoMikami,,京都府,https://twitter.com/KyotoMikami,https://twitter.com/KyotoMikami#timeline,,,
西田昌司,にしだしょうじ,男,60歳,自由民主党,http://www.showyou.jp/,,京都府,http://www.showyou.jp/,https://twitter.com/j_shoujinishida?ref_src=twsrc%5Etfw,https://www.facebook.com/shoujinishida/,https://www.youtube.com/watch?v=6H2CWtuyO4I,https://www.instagram.com/shoujinishida/
倉林明子,くらばやしあきこ,女,58歳,日本共産党,http://kurabayashi-akiko.jp/,,京都府,http://kurabayashi-akiko.jp/,https://twitter.com/kurabayashia,https://www.facebook.com/watashi.acco/,https://www.youtube.com/playlist?list=PLqvz3LkbEqZ1snAmhzdhmFAIe_7P8PARA,
増原ひろこ,ますはらひろこ,女,41歳,立憲民主党,https://www.masuharahiroko.com,,京都府,https://www.masuharahiroko.com,https://twitter.com/masuhara_hiroko,https://www.facebook.com/MasuharaHiroko/,,https://www.instagram.com/masuhara_hiroko/
山田彰久,やまだあきひさ,男,38歳,NHKから国民を守る党,http://nhkkara.jp/,,京都府,http://nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
浜田たけし,はまだたけし,男,53歳,安楽死制度を考える会,,,大阪府,,,,,
太田房江,おおたふさえ,女,68歳,自由民主党,osaka-fus.com,,大阪府,osaka-fus.com,https://twitter.com/fusaeoota,https://www.facebook.com/otafusaefunsite/,https://www.youtube.com/channel/UC3sILI6Oh1uj7nSQ-XE2xtw?view_as=subscriber,https://www.instagram.com/fusaeoota/
東とおる,あずまとおる,男,52歳,日本維新の会,https://www.azuma-toru.com/,,大阪府,https://www.azuma-toru.com/,https://twitter.com/toru_azuma,https://www.facebook.com/osakaishin/,https://www.youtube.com/user/oneosaka,
あだちみきよ,あだちみきよ,女,47歳,オリーブの木,https://www.facebook.com/mikiyo.adachi,,大阪府,https://www.facebook.com/mikiyo.adachi,,https://ja-jp.facebook.com/people/あだち-まどか-古里/100002949800847,,
かめいし倫子,かめいしみちこ,女,45歳,立憲民主党,https://kamemichi.net,,大阪府,https://kamemichi.net,https://twitter.com/michikokameishi,https://www.facebook.com/kameishimichiko/,,https://www.instagram.com/kameishimichiko/
にしゃんた,にしゃんた,男,50歳,国民民主党,nishan.jp,,大阪府,nishan.jp,https://twitter.com/#!/nishan_tha,,,
杉ひさたけ,すぎひさたけ,男,43歳,公明党,https://sugi-hisatake.com/,,大阪府,https://sugi-hisatake.com/,https://twitter.com/hisatake_sugi?ref_src=twsrc%5Etfw,https://www.facebook.com/hisatake.sugi/,https://www.youtube.com/user/sugihisatake,https://www.instagram.com/hisatake_sugi/
梅村みずほ,うめむらみずほ,女,40歳,日本維新の会,https://umemura-mizuho.com/wp/,,大阪府,https://umemura-mizuho.com/wp/,,,,
尾﨑全紀,おざきまさのり,男,48歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,大阪府,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
数森けいご,かずもりけいご,男,39歳,幸福実現党,,,大阪府,,,,,
たつみコータロー,たつみこうたろう,男,42歳,日本共産党,http://www.tatsumi-kotaro-jump.com/,,大阪府,http://www.tatsumi-kotaro-jump.com/,https://twitter.com/kotarotatsumi?ref_src=twsrc%5Etfw,http://www.facebook.com/share.php?u=http://www.tatsumi-kotaro-jump.com/,,https://www.instagram.com/kotaro_tatsumi1976/?hl=ja
佐々木一郎,ささきいちろう,男,68歳,労働の解放をめざす労働者党,http://wpll-j.org,,大阪府,http://wpll-j.org,https://twitter.com/rodousyatou,,https://www.youtube.com/watch?v=92edaghaGvQ&t=68s,
原博義,はらひろよし,男,47歳,NHKから国民を守る党,http://www.nhkkara.jp,,兵庫県,http://www.nhkkara.jp,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
高橋みつお,たかはしみつお,男,42歳,公明党,https://takahashi-mitsuo.com,,兵庫県,https://takahashi-mitsuo.com,https://twitter.com/takahashimitsu7?ref_src=twsrc%5Etfw,https://www.facebook.com/takahashimitsuo18/,,https://www.instagram.com/takahashimitsuo18/
安田真理,やすだまり,女,41歳,立憲民主党,https://www.yasudamari2019.info,,兵庫県,https://www.yasudamari2019.info,https://twitter.com/YasudaM719,https://www.facebook.com/yasudamari2019/,,https://www.instagram.com/yasuda_mari2019/?hl=ja
かだ裕之,かだひろゆき,男,49歳,自由民主党,https://kadahiroyuki.com,,兵庫県,https://kadahiroyuki.com,https://twitter.com/kadahiroyuki,https://facebook.com/586187035129131,,https://www.instagram.com/hiroyukikada/
清水貴之,しみずたかゆき,男,45歳,日本維新の会,http://shimizu-takayuki.com,,兵庫県,http://shimizu-takayuki.com,https://twitter.com/CoTakayuki,https://www.facebook.com/S.Takayuki,,
金田峰生,かねだみねお,男,53歳,日本共産党,https://www.jcp-hyogo.org/kaneda-mineo,,兵庫県,https://www.jcp-hyogo.org/kaneda-mineo,https://twitter.com/jcp_hyogo,https://www.facebook.com/hyougomon/,https://www.youtube.com/channel/UCKiEBY1fFtfMBIR_O8EHCVA,
田中たかこ,たなかたかこ,女,64歳,幸福実現党,https://ameblo.jp/tanakatakako,,奈良県,https://ameblo.jp/tanakatakako,,,,
堀井いわお,ほりいいわお,男,53歳,自由民主党,http://iwao.nara.jp,,奈良県,http://iwao.nara.jp,https://twitter.com/iwaonarajp?ref_src=twsrc%5Etfw,https://www.facebook.com/i.horii.nara,https://www.youtube.com/channel/UCqiFXiZ3D44TDaYe0JFox9A,
西田一美,にしだかずみ,女,58歳,無所属,https://www.24da.net,,奈良県,https://www.24da.net,https://twitter.com/Kazumi_Nishida?ref_src=twsrc%5Etfw,https://www.facebook.com/kazumi.nishida.7,,
ふじいみきお,ふじいみきお,男,58歳,無所属,http://www.mickyfujii.net,,和歌山県,http://www.mickyfujii.net,,https://www.facebook.com/%E3%81%B5%E3%81%98%E3%81%84%E3%81%BF%E3%81%8D%E3%81%8A%E5%BE%8C%E6%8F%B4%E4%BC%9A%E4%BA%8B%E5%8B%99%E6%89%80-318338892162102/,,
せこう弘成,せこうひろしげ,男,56歳,自由民主党,https://sekohiroshige.jp,,和歌山県,https://sekohiroshige.jp,https://twitter.com/sekohiroshige,https://facebook.com/sekohiroshige,,https://www.instagram.com/hiroshigeseko/
まいたち昇治,まいたちしょうじ,男,43歳,自由民主党,http://www.maitachi.com,,鳥取県・島根県,http://www.maitachi.com,,https://www.facebook.com/maitachi.shouji,https://www.youtube.com/watch?v=QuBHJsomLRM&feature=youtube_gdata_player&hl=,https://www.instagram.com/suigetsukai/
中林よし子,なかばやしよしこ,女,73歳,無所属,https://www.nakabayashiyoshiko.com/,,鳥取県・島根県,https://www.nakabayashiyoshiko.com/,,,,
黒瀬信明,くろせのぶあき,男,34歳,NHKから国民を守る党,http://www.nhkkara.jp,,鳥取県・島根県,http://www.nhkkara.jp,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
石井まさひろ,いしいまさひろ,男,73歳,自由民主党,https://ishii-masahiro.jp/,,岡山県,https://ishii-masahiro.jp/,https://twitter.com/ishiimasahir0,https://www.facebook.com/m.ishii.office/,,
原田ケンスケ,はらだけんすけ,男,33歳,立憲民主党,https://haradakensuke.jp/,,岡山県,https://haradakensuke.jp/,https://twitter.com/haraken0814?ref_src=twsrc%5Etfw,https://www.facebook.com/haradakensuke.okayama/,https://www.youtube.com/channel/UCtt00PQiyeW3PPVErS32ZwA,
越智寛之,おちひろゆき,男,45歳,NHKから国民を守る党,http://www.nhkkara.jp/,,岡山県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
河井あんり,かわいあんり,女,45歳,自由民主党,http://www.anrinet.com,,広島県,http://www.anrinet.com,,https://www.facebook.com/kawaianri/,https://www.youtube.com/channel/UCp3a1uxCY9KPUBUd3z3Jqsg?fbclid=IwAR0VmoOFPrOpebrvXjSpmwLbOfGKD6tLWAXHFiHmtYd1pkHOh_B3wFbUD9s,
泉安政,いずみやすまさ,男,66歳,労働の解放をめざす労働者党,,,広島県,,,,,
玉田のりたか,たまだのりたか,男,61歳,無所属,http://touyodai.jp,,広島県,http://touyodai.jp,,,,
高見あつみ,たかみあつみ,男,67歳,日本共産党,https://www.facebook.com/takamiat,,広島県,https://www.facebook.com/takamiat,,https://www.facebook.com/takamiat,,
加陽てるみ,かようてるみ,男,69歳,NHKから国民を守る党,http://nhkkara.jp/,,広島県,http://nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
森本しんじ,もりもとしんじ,男,46歳,無所属,http://www.morimori.net,,広島県,http://www.morimori.net,,https://www.facebook.com/shinji.morimoto.355,,
みぞて顕正,みぞてけんせい,男,76歳,自由民主党,https://mizote-kensei.jp/,,広島県,https://mizote-kensei.jp/,https://twitter.com/Mizote_Kensei17,https://www.facebook.com/mizote.jimusho,https://www.youtube.com/watch?v=ZHGsYycDFdw,
林よしまさ,はやしよしまさ,男,58歳,自由民主党,https://www.yoshimasa.com/,,山口県,https://www.yoshimasa.com/,https://twitter.com/hayashi09615064,https://www.facebook.com/yoshimasa.hayashi.giinz,https://www.youtube.com/user/hayashiyoshimasa?feature=watch,
竹本秀之,たけもとひでゆき,男,63歳,無所属,https://www.hideyukitakemoto.com,,山口県,https://www.hideyukitakemoto.com,http://www.twitter.com/sleepybuddareal,,,
かわい美和子,かわいみわこ,女,56歳,幸福実現党,https://ameblo.jp/kawaimiwako/,,山口県,https://ameblo.jp/kawaimiwako/,,,,
大内一也,おおうちかずや,男,45歳,国民民主党,https://www.ouchikazuya.com,,山口県,https://www.ouchikazuya.com,,https://www.facebook.com/ouchikazuya1010,,
石川新一郎,いしかわしんいちろう,男,65歳,NHKから国民を守る党,,,徳島県・高知県,,,,,
たかの光二郎,たかのこうじろう,男,44歳,自由民主党,http://www.kohjiro.jp,,徳島県・高知県,http://www.kohjiro.jp,https://twitter.com/takanokohjiro,https://www.facebook.com/kojiro.takano,https://www.youtube.com/channel/UCrPgbkQnWvh67iOVstnViCQ,
松本けんじ,まつもとけんじ,男,35歳,無所属,https://withyourvoice.exblog.jp/,,徳島県・高知県,https://withyourvoice.exblog.jp/,https://twitter.com/Excite_blog,,,
野村秀邦,のむらひでくに,男,69歳,無所属,,,徳島県・高知県,,,,,
おだ美和子,おだみわこ,女,46歳,無所属,https://oda-miwako.jp,,香川県,https://oda-miwako.jp,https://twitter.com/oda_miwako,https://www.facebook.com/odamiwako,,https://www.instagram.com/oda_miwako0421/
三宅しんご,みやけしんご,男,57歳,自由民主党,http://www.miyakeshingo.net/,,香川県,http://www.miyakeshingo.net/,https://twitter.com/miyakeshingo,https://www.facebook.com/miyakeshingo,https://www.youtube.com/channel/UCgR9Mu5I-R4halzdUaHJVjA?feature=guide,
田中邦明,たなかくにあき,男,46歳,NHKから国民を守る党,,,香川県,,,,,
らくさぶろう,らくさぶろう,男,54歳,自由民主党,http://rakusaburo.jp/,,愛媛県,http://rakusaburo.jp/,https://twitter.com/rakusaburou1,https://www.facebook.com/rakusaburo,https://www.youtube.com/channel/UCQBTGiIlwsWsueNjKEqGJ2g,https://www.instagram.com/rakusaburou/
ながえ孝子,ながえたかこ,女,59歳,無所属,https://nagae-takako.com,,愛媛県,https://nagae-takako.com,,https://www.facebook.com/nagaetakako/,https://www.youtube.com/channel/UCkX2YsitqK8lK1Ge8WGXjbw,https://www.instagram.com/nagaetakako/?hl=ja
椋本薫,むくもとかおる,男,45歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,愛媛県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
春田くみこ,はるたくみこ,女,52歳,国民民主党,https://harutakumiko.jp,,福岡県,https://harutakumiko.jp,https://twitter.com/harutakumiko,,,
川口尚宏,かわぐちなおひろ,男,50歳,NHKから国民を守る党,http://www.nhkkara.jp/,,福岡県,http://www.nhkkara.jp/,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
かわの祥子,かわのしょうこ,女,39歳,日本共産党,http://www.fjcp.jp/election/sanin2019/2702/,,福岡県,http://www.fjcp.jp/election/sanin2019/2702/,,https://ja-jp.facebook.com/fukuoka.jcp,,
浜武しんいち,はまたけしんいち,男,53歳,オリーブの木,http://www.hammar.jp/,,福岡県,http://www.hammar.jp/,,,https://www.youtube.com/user/hamatakehabatake/playlists,
しもの六太,しものろくた,男,55歳,公明党,http://shimono-rokuta.jp/,,福岡県,http://shimono-rokuta.jp/,https://twitter.com/shimonorokuta,https://www.facebook.com/shimonorokuta/,https://www.youtube.com/channel/UCtX7Uku5BdmeCKPxiLNmwTg,
本藤昭子,ほんどうあきこ,女,77歳,安楽死制度を考える会,,,福岡県,,,,,
野田くによし,のだくによし,男,61歳,立憲民主党,https://nodakuniyoshi.net/,,福岡県,https://nodakuniyoshi.net/,,https://www.facebook.com/nodakuniyoshi,https://www.youtube.com/user/nodakuniyoshi/videos,
江夏まさとし,えなつまさとし,男,51歳,幸福実現党,http://enatsu-masatoshi.com/,,福岡県,http://enatsu-masatoshi.com/,https://twitter.com/EnatsuMasatoshi,https://www.facebook.com/Enatsu.Masatoshi.HR,,
松山まさじ,まつやままさじ,男,60歳,自由民主党,http://matsuyama-masaji.com/,,福岡県,http://matsuyama-masaji.com/,,https://www.facebook.com/m.mmrrk,,
山下雄平,やましたゆうへい,男,39歳,自由民主党,http://www.yuhey.jp,,佐賀県,http://www.yuhey.jp,,,,
犬塚ただし,いぬづかただし,男,64歳,国民民主党,http://www.t-inuzuka.com/,,佐賀県,http://www.t-inuzuka.com/,https://twitter.com/TadashiInuzuka?ref_src=twsrc%5Etfw,https://www.facebook.com/inuzukasaga/,https://www.youtube.com/channel/UCn-axE8oW1y1ezNMBrS3RCw/videos,
古賀友一郎,こがゆういちろう,男,51歳,自由民主党,http://www.koga-yuichiro.jp/,,長崎県,http://www.koga-yuichiro.jp/,https://twitter.com/KogaYuichiro_O,http://www.facebook.com/pages/%E5%8F%A4%E8%B3%80%E5%8F%8B%E4%B8%80%E9%83%8E%E5%BE%8C%E6%8F%B4%E4%BC%9A/156351827877680,https://www.youtube.com/channel/UC54qB-EsRNNpXzIo7bNc_6g,https://www.instagram.com/kogayuichiro_official
白川あゆみ,しらかわあゆみ,女,39歳,国民民主党,https://shirakawaayumi.info/,,長崎県,https://shirakawaayumi.info/,https://twitter.com/shirakawa26,https://www.facebook.com/ayumi.hershey,,https://www.instagram.com/shirakawaayumi889/?hl=ja
神谷幸太郎,かみやこうたろう,男,43歳,NHKから国民を守る党,,,長崎県,,,,,
馬場せいし,ばばせいし,男,54歳,自由民主党,http://babaseishi.jp/,,熊本県,http://babaseishi.jp/,,https://www.facebook.com/seishi.baba/,https://www.youtube.com/watch?v=rNpdIelKcj4,
あべ広美,あべひろみ,女,52歳,無所属,http://www.facebook.com/hiromi1206,,熊本県,http://www.facebook.com/hiromi1206,,https://www.facebook.com/hiromi1206,,
最勝寺辰也,さいしょうじしんや,男,38歳,NHKから国民を守る党,http://www.nhkkara.jp/index.html,,熊本県,http://www.nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
いそざき陽輔,いそざきようすけ,男,61歳,自由民主党,http://isozaki-office.jp/,,大分県,http://isozaki-office.jp/,https://twitter.com/isozaki_yousuke,http://www.facebook.com/isozaki.y,https://www.youtube.com/watch?v=49wR8AjZiJA,
あだちきよし,あだちきよし,男,49歳,無所属,https://www.adachi-kiyoshi.com,,大分県,https://www.adachi-kiyoshi.com,https://twitter.com/adachikiyoshi1?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3Aadachikiyoshi1%7Ctwgr%5E363937393b70726f64756374696f6e&ref_url=http%3A%2F%2Fohno.digiban.net%2Fadachi-kiyoshi%2Findex.html,https://www.facebook.com/adachikiyoshioffice/,,
牧原慶一郎,まきはらけいいちろう,男,41歳,NHKから国民を守る党,http://nhkkara.jp/index.html,,大分県,http://nhkkara.jp/index.html,https://twitter.com/tachibanat,https://www.facebook.com/takashi.tachibana.965,https://www.youtube.com/channel/UC80FWuvIAtY-TRtYuDocfUw,
ながみね誠,ながみねまこと,男,49歳,自由民主党,https://www.nagaminemakoto.com/,,宮崎県,https://www.nagaminemakoto.com/,,,,
こうの一郎,こうのいちろう,男,59歳,幸福実現党,https://ameblo.jp/konoichiro/,,宮崎県,https://ameblo.jp/konoichiro/,,,,
そのう裕造,そのうゆうぞう,男,41歳,立憲民主党,https://sonou.jp,,宮崎県,https://sonou.jp,https://twitter.com/sonou_yuzo,https://www.facebook.com/sonou.yuzo,,
前田しゅうじ,まえだしゅうじ,男,71歳,無所属,,,鹿児島県,,,,,
合原ちひろ,ごうはらちひろ,女,39歳,無所属,https://www.facebook.com/goharachihiro/,,鹿児島県,https://www.facebook.com/goharachihiro/,,https://www.facebook.com/goharachihiro/#,,
おつじ秀久,おつじひでひさ,男,78歳,自由民主党,http://www.otsuji.gr.jp/,,鹿児島県,http://www.otsuji.gr.jp/,,,,
あさと繁信,あさとしげのぶ,男,49歳,自由民主党,https://asatoshigenobu.com,,沖縄県,https://asatoshigenobu.com,https://twitter.com/asato1969,https://www.facebook.com/%E5%AE%89%E9%87%8C%E7%B9%81%E4%BF%A1-272410526155032/,,https://www.instagram.com/shigenobu_asato/?hl=ja
タカラ鉄美,たからてつみ,男,65歳,無所属,https://www.takara-okinawa.jp/,,沖縄県,https://www.takara-okinawa.jp/,https://twitter.com/takaratetsumi19,https://www.facebook.com/takaraokinawa/,,
磯山秀夫,いそやまひでお,男,72歳,NHKから国民を守る党,,,沖縄県,,,,,
玉利ともてる,たまりともてる,男,60歳,無所属,,,沖縄県,,,,,
